Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,103.8098,-149.352,-90.0,top
C2,22uf,C_0402_1005Metric,104.9274,-149.352,-90.0,top
C3,100n,C_0402_1005Metric,113.665,-152.019,-90.0,top
C4,100n,C_0402_1005Metric,117.2464,-151.6888,0.0,top
C5,22uf,C_0402_1005Metric,117.2718,-153.035,0.0,top
C6,100n,C_0402_1005Metric,104.9782,-140.5128,180.0,top
C7,100n,C_0402_1005Metric,111.0742,-131.3434,90.0,top
C8,100n,C_0402_1005Metric,107.3658,-142.113,180.0,top
C9,22uf,C_0402_1005Metric,115.5954,-145.161,90.0,top
C10,22uf,C_0402_1005Metric,113.6142,-145.161,90.0,top
C11,100n,C_0402_1005Metric,117.9068,-145.1864,90.0,top
C12,100n,C_0402_1005Metric,108.4326,-146.6342,90.0,top
C13,100n,C_0402_1005Metric,109.22,-134.0104,180.0,bottom
C14,100n,C_0402_1005Metric,112.0648,-143.0528,-90.0,top
C15,100n,C_0402_1005Metric,117.6528,-140.589,0.0,top
C16,100n,C_0402_1005Metric,110.5662,-143.764,180.0,top
C17,100n,C_0402_1005Metric,112.0394,-132.4636,90.0,top
C18,100n,C_0402_1005Metric,106.6038,-134.7724,180.0,top
C19,100n,C_0402_1005Metric,117.602,-136.906,0.0,top
C20,1u,C_0402_1005Metric,113.1316,-143.0528,-90.0,top
C21,8p,C_0402_1005Metric,117.1448,-130.2764,-90.0,top
C22,8p,C_0402_1005Metric,112.0648,-130.5078,90.0,top
C23,100n,C_0402_1005Metric,121.6914,-133.5786,180.0,top
C24,100n,C_0402_1005Metric,121.7168,-134.6962,180.0,top
C25,100n,C_0402_1005Metric,121.6914,-136.1186,180.0,top
C26,100n,C_0402_1005Metric,121.666,-137.2108,180.0,top
C27,100n,C_0402_1005Metric,121.5898,-139.4968,180.0,top
C28,100n,C_0402_1005Metric,121.5644,-141.8844,180.0,top
C29,100n,C_0402_1005Metric,121.793,-149.098,180.0,top
C30,100n,C_0402_1005Metric,121.666,-147.5232,180.0,top
C31,100n,C_0402_1005Metric,121.7168,-145.2372,180.0,top
C32,100n,C_0402_1005Metric,123.571,-153.8224,-90.0,top
C33,100n,C_0402_1005Metric,124.7394,-153.797,-90.0,top
C34,100n,C_0402_1005Metric,126.4412,-153.797,-90.0,top
C35,100n,C_0402_1005Metric,127.5334,-153.797,-90.0,top
C36,100n,C_0402_1005Metric,129.54,-153.797,-90.0,top
C37,100n,C_0402_1005Metric,130.6068,-153.7716,-90.0,top
C38,100n,C_0402_1005Metric,132.8928,-153.8478,-90.0,top
C39,100n,C_0402_1005Metric,133.9342,-153.8478,-90.0,top
C40,100n,C_0402_1005Metric,135.4836,-153.8478,-90.0,top
C41,100n,C_0402_1005Metric,136.5504,-153.8478,-90.0,top
C42,100n,C_0402_1005Metric,121.8438,-151.9428,180.0,top
C43,100n,C_0402_1005Metric,121.8438,-153.0096,180.0,top
C44,100n,C_0402_1005Metric,155.8544,-132.5626,-90.0,top
C45,100n,C_0402_1005Metric,155.8544,-135.4582,-90.0,top
C46,100n,C_0402_1005Metric,155.8036,-138.3284,-90.0,top
C47,100n,C_0402_1005Metric,155.8036,-141.1986,-90.0,top
C48,100n,C_0402_1005Metric,155.7782,-144.0688,-90.0,top
C49,100n,C_0402_1005Metric,155.7528,-146.9898,-90.0,top
C50,100n,C_0402_1005Metric,155.7528,-150.3172,-90.0,top
C51,100n,C_0402_1005Metric,139.065,-135.4836,-90.0,top
C52,100n,C_0402_1005Metric,138.9888,-138.5036,-90.0,top
C53,100n,C_0402_1005Metric,139.0142,-141.5542,-90.0,top
C54,100n,C_0402_1005Metric,139.0142,-144.6556,-90.0,top
C55,100n,C_0402_1005Metric,138.9634,-149.0472,-90.0,top
C56,100n,C_0402_1005Metric,144.526,-154.0204,-90.0,top
C57,100n,C_0402_1005Metric,145.542,-154.0178,-90.0,top
C58,100n,C_0402_1005Metric,149.1996,-153.9786,-90.0,top
C59,100n,C_0402_1005Metric,140.9192,-153.8934,-90.0,top
C60,100n,C_0402_1005Metric,141.9098,-153.8986,-90.0,top
C61,100n,C_0402_1005Metric,148.209,-153.995,-90.0,top
C62,100n,C_0402_1005Metric,152.7758,-153.995,-90.0,top
C63,100n,C_0402_1005Metric,151.765,-153.995,-90.0,top
C64,100n,C_0402_1005Metric,155.1178,-154.0712,-90.0,top
C65,100n,C_0402_1005Metric,107.5436,-157.5054,0.0,top
C66,100n,C_0402_1005Metric,123.4694,-157.5816,0.0,top
C67,100n,C_0402_1005Metric,147.574,-157.5816,0.0,top
D1,LED,LED_0603_1608Metric,98.2218,-151.4856,180.0,bottom
L1,1UH,IND-SMD_L4.4-W4.2,116.0272,-148.5646,180.0,top
